Property Status,Price,Bed,Bath,Sqft,Lot Size,Address,Link
House for sale,"$925,000",5,4,"3,360sqft",0.23acre lot,"5754 Gadwall Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5754-Gadwall-Dr_Frisco_TX_75034_M86232-48485?from=srp-list-card
Townhouse for sale,"$415,000",2,2.5,"1,687sqft","2,614sqft lot","6813 Massa Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6813-Massa-Ln_Frisco_TX_75034_M78237-81151?from=srp-list-card
House for sale,"$797,000",3,2.5,"2,450sqft","6,260sqft lot","1682 Morris Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/1682-Morris-Ln_Frisco_TX_75034_M77613-56509?from=srp-list-card
House for sale,"$774,900",4,4,"3,499sqft","5,271sqft lot","33 Glistening Pond Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/33-Glistening-Pond-Dr_Frisco_TX_75034_M81461-80375?from=srp-list-card
House for sale,"$2,190,000",4,4.5+,"5,811sqft",0.41acre lot,"1799 Prince William Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/1799-Prince-William-Ln_Frisco_TX_75034_M78842-56958?from=srp-list-card
Pending,"$3,499,999",5,5.5+,"6,457sqft",0.31acre lot,"5125 Brandywine Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5125-Brandywine-Ln_Frisco_TX_75034_M76954-91845?from=srp-list-card
House for sale,"$1,375,000",5,5.5,"4,806sqft",0.28acre lot,"7352 Calla Lilly Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/7352-Calla-Lilly-Ln_Frisco_TX_75034_M71454-21555?from=srp-list-card
House for sale,"$559,000",4,2,"2,124sqft","6,011sqft lot","3526 Washington Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3526-Washington-Dr_Frisco_TX_75034_M79716-21106?from=srp-list-card
House for sale,"$2,175,000",5,5.5,"6,226sqft",0.27acre lot,"3026 Briarwood Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3026-Briarwood-Ln_Frisco_TX_75034_M82642-41847?from=srp-list-card
House for sale,"$824,900",3,2.5,"3,452sqft","7,841sqft lot","48 Clear Pond Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/48-Clear-Pond-Dr_Frisco_TX_75034_M73599-73785?from=srp-list-card
Townhouse for sale,"$384,999",3,2,"1,668sqft","4,792sqft lot","8801 Holly St Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8801-Holly-St_Frisco_TX_75034_M82434-84381?from=srp-list-card
House for sale,"$825,000",5,4,"4,013sqft","8,451sqft lot","5087 Navajo Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5087-Navajo-Dr_Frisco_TX_75034_M85245-07891?from=srp-list-card
Contingent,"$965,000",4,4,"4,527sqft","8,102sqft lot","3392 Starling Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3392-Starling-Dr_Frisco_TX_75034_M70666-99743?from=srp-list-card
House for sale,"$635,000",4,2.5,"2,794sqft","6,055sqft lot","4077 Truman Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4077-Truman-Dr_Frisco_TX_75034_M70392-81641?from=srp-list-card
House for sale,"$519,900",4,2.5,"2,186sqft","7,405sqft lot","7602 Bridge Water Cir Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/7602-Bridge-Water-Cir_Frisco_TX_75034_M74599-45194?from=srp-list-card
House for sale,"$685,000",4,3,"3,362sqft","6,316sqft lot","3523 Lincoln Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3523-Lincoln-Dr_Frisco_TX_75034_M84279-50092?from=srp-list-card
